标题,时间,内容,来源,编辑,关键词,文章链接
《马斯克说AI很快就要比人更聪明，靠谱吗？》,2024-04-11 10:54:48,美国知名企业家埃隆·马斯克8日在社交媒体上表示，到明年年底或者2026年，新的人工智能（AI）模型可能将超越人类的智力，“比最聪明的人还聪明”。,新华网,郭倩,人工智能 OpenAI 大众科学,https://news.cctv.com/2024/04/11/ARTI1zo8gtH0seaiMO5fArBc240411.shtml
《我国5G移动电话用户达8.51亿 超4G用户9000多万》,2024-04-11 09:41:14,记者日前从工业和信息化部获悉：截至今年2月末，我国5G移动电话用户达8.51亿户，相较4G用户数超出9000多万户。,人民日报,郭倩,移动电话 用户规模 5G,https://news.cctv.com/2024/04/11/ARTI90ianDlrQbftqAJp8Sk5240411.shtml
《新材料大幅提升太阳能电池量子效率》,2024-04-11 06:42:51,据最新一期《科学进展》杂志报道，美国理海大学研究人员开发出一种新材料，可大幅提高太阳能电池板效率。,科技日报,肖潇,载流子 太阳能系统 新材料 外量子效率 小间隙 激子 材料领域 材料特性 太阳能电池板 研究人员,https://news.cctv.com/2024/04/11/ARTI598C4UjgC0fzozNRwFk1240411.shtml
《欢迎“雪龙”回家！龙年龙日看“双龙探极”有多厉害》,2024-04-10 17:57:29,4月10日6时26分，“雪龙”号极地考察船停靠山东青岛，标志着中国第40次南极考察圆满结束并向公众开放参观。,中央广播电视总台央视新闻,郭倩,“雪龙”2号 龙年龙日 双龙探极,https://news.cctv.com/2024/04/10/ARTIb0m9IFs123M9LtyBtCLS240410.shtml
《我国自主研发！今日投用！》,2024-04-10 15:28:23,4月10日，记者从中国科学院深圳先进技术研究院获悉，我国自主研发的波浪能海洋生态监测浮标研发测试平台在广东深圳大鹏海域投用。,科技日报,郭倩,合作者号 自主研发,https://news.cctv.com/2024/04/10/ARTIMlb7XbLDtUPjOwSuygrp240410.shtml
《太空视角下的航天员如何保持健康？一文了解》,2024-04-10 10:26:08,空间环境对人体产生的各种影响不容忽视，如何保障航天员的身体健康，成为航天医学领域的重要课题。,中国载人航天微信公众号,郭倩,航天员 太空环境 太空探索 黑障区 课堂,https://news.cctv.com/2024/04/10/ARTINGo6DJFAxcimJac6dDMe240410.shtml
《微塑料“入侵”人体影响有多大？如何应对？》,2024-04-10 09:44:10,近年来，国际上关于微塑料的研究报道有很多，虽然目前还没有充分证据表明这类塑料会直接引发人类疾病，但鉴于其在海洋、饮用水及人体中的发现日益增多，还是引起了科学家及公众的关注。,北京日报,郭倩,塑料颗粒,https://news.cctv.com/2024/04/10/ARTIS5hllKWpucB2QcmR2JzW240410.shtml
《中广核广西防城港核电站4号机组实现首次并网发电》,2024-04-10 09:43:09,4月9日20时29分，中广核广西防城港核电站4号机组成功实现首次并网发电，标志着该机组具备发电能力，向着商业运行目标迈出关键一步。,新华社,高士佳,核电站 中广核 防城港 4号机组,https://news.cctv.com/2024/04/10/ARTIOC5CnmqRRulSDMiWIO0l240410.shtml
《我国提出破解南极科考钻探污染难题方案》,2024-04-10 06:38:29,4月8日，执行中国第40次南极考察任务的极地科考破冰船“雪龙2”号抵达香港，展开为期五天的访问行程。,科技日报,刘珊,冰下湖 钻探取样 南京天文光学技术研究所 钻进工艺 钻探技术 钻探工程 地外生命 钻探设备 南极科考 南极科学,https://news.cctv.com/2024/04/10/ARTIN5W6314TM0aPuqucQuIE240410.shtml
《中国首台套移动临床试验单元投入应用示范》,2024-04-09 23:25:23,中国首台套移动临床试验单元9日在蚌埠医科大学第一附属医院组装完毕，投入应用示范。移动临床试验单元由该院临床试验研究中心主任周焕教授团队自主研发设计，核心部分包括两辆专业医疗特种车和全套数字生态系统。,中国新闻网,陈诗文,临床试验 移动,https://news.cctv.com/2024/04/09/ARTINckgct5tVy7ftU4ersuG240409.shtml
《“雪龙2”号科学家在港交流应对气候变化方案》,2024-04-09 23:00:56,香港中文大学9日起一连两日举行气候变化国际会议。此次研讨会的主题为“气候变化国际会议：极地科考、生态环境与气候变化”，吸引逾2000名全球科学家、政策制定者及行业领袖等共同探讨，寻求应对气候变化的全球解决方案。,新华网,陈诗文,科学家 生物生态学,https://news.cctv.com/2024/04/09/ARTIggnpkFskIEQET25BSFvD240409.shtml
《我国3D打印贮箱首次实现在轨应用》,2024-04-09 17:36:49,记者从航天科技集团六院获悉，天都二号通导技术试验卫星冷推系统工作正常，近日已为卫星绕月提供了高精度轨道姿态控制，标志着液氨冷气微推进系统在深空探测领域实现首次成功应用，同时标志着我国3D打印贮箱首次实现在轨应用。,新华网,邢斯馨,贮箱,https://news.cctv.com/2024/04/09/ARTI0coEh8uxxgC1PSN7EcfP240409.shtml
《科研人员开发出柔性可穿戴长波红外光热电探测器》,2024-04-09 16:43:33,近日，中国科学院大连化物所催化基础国家重点实验室热电材料与器件研究组姜鹏研究员、陆晓伟副研究员、包信和院士团队开发了柔性可穿戴长波红外光热电探测器，相关研究成果以“实现非接触式温度感知的柔性红外光热电探测器赋予电子皮肤温度预警功能”为题，发表在国际学术期刊《先进材料》上。,新华网,罗萌,柔性可穿戴长波红外光热电探测器,https://news.cctv.com/2024/04/09/ARTIL2XSht7TOm2nNS1qpGPz240409.shtml
《大庆油田2024年一季度油气生产实现“双超”》,2024-04-09 14:25:08,记者从中国石油大庆油田获悉，该油田2024年一季度原油产量超计划4.68万吨，天然气产量超计划3000万立方米，油气生产实现“双超”。,央视新闻,邢斯馨,大庆油田 油气生产 双超 天然气产量 原油产量 新能源 发电量 石油 同比增长 一季度,https://news.cctv.com/2024/04/09/ARTI6TcnjpyuFZzJH7NjR9Wv240409.shtml
《月亮如何自行翻转？科学家解开月球地质“不平衡”谜团》,2024-04-09 11:13:12,大约45亿年前，一颗小行星撞上了年轻的地球，将熔岩抛入太空。慢慢地，碎片融合、冷却、凝固，形成了月球。,科技日报,及玥,致密物质 月亮 地幔 月球 钛铁矿 不平衡 熔岩,https://news.cctv.com/2024/04/09/ARTIKp12bygnybzHa7m7H5p9240409.shtml
《科技助力更多“过敏星人”远离“会呼吸的痛”》,2024-04-09 11:12:36,花粉、飞絮等都可能诱发春季过敏，但由于产生它们的树木具有广泛分布的特性，使防治工作非常棘手。不过，近年来借助先进科技手段，防治工作取得成效，让更多“过敏星人”远离“会呼吸的痛”，不再望“春”兴叹。,科技日报,及玥,飞絮 城市绿化树种 虫媒花 龙爪柳 花粉过敏 园艺林学学院 防治需求 防治方法 防治工作,https://news.cctv.com/2024/04/09/ARTI59yQTzSLTt0q1MlX9TNy240409.shtml
《“深海一号”二期最大水下生产设施完成就位》,2024-04-09 09:27:42,记者今天（4月9日）从中国海油获悉，“深海一号”二期项目水下工程作业取得重要进展，重量最大、结构最复杂的全部3套深水水下中心管汇顺利安装就位，这是由我国自主建造的深水水下多功能管汇系统，首次应用于开发深水高温高压油气藏。,央视新闻,及玥,深海 就位 深水 油气藏 水下工程 生产设施,https://news.cctv.com/2024/04/09/ARTIMAH0I0ohu1vB3t9uZrI8240409.shtml
《数字“潜龙”护航珠三角水利工程建设》,2024-04-09 06:18:04,近日，由国务院部署的国家172项节水供水重大水利工程之一、粤港澳大湾区重大水利基础设施——珠江三角洲水资源配置工程（以下简称珠三角工程）全面通水。在这条跨越113.2公里的输水工程背后，还有一条数字输水工程随之运行。它就是珠三角工程全生命周期BIM+GIS系统平台项目建设的地下数字“潜龙”。,科技日报,刘珊,珠三角 水利工程建设 潜龙 GIS系统 BIM 应用探索 态势感知 全生命周期 数字工程 ct机,https://news.cctv.com/2024/04/09/ARTI78KWezzGMVwfdYH7ffdq240409.shtml
《北京跃升国际科技创新关键枢纽》,2024-04-09 05:57:02,作为我国建设世界科技强国的排头兵，北京始终坚持创新驱动发展，全力塑造科技创新核心优势。亮眼成绩的背后，是北京一手抓原始创新，一手抓高精尖产业，以科技创新促产业创新、以创新引领高质量发展的生动实践。,新华每日电讯,陈诗文,中国式现代化 创新主体,https://news.cctv.com/2024/04/09/ARTIQg7z2RuwwIlBJEircvUE240409.shtml
《天都二号卫星成功推进关键技术 3D打印贮箱实现国内首次在轨应用》,2024-04-08 20:43:43,记者从中国航天科技集团六院获悉，4月3日，探月工程用鹊桥通导技术试验卫星——天都二号卫星推进分系统工作正常，为卫星绕月提供了高精度轨道姿态控制，标志着液氨冷气微推进系统在深空探测领域实现首次成功应用，同时标志着我国3D打印贮箱首次实现在轨应用。,央视新闻,及玥,贮箱 技术试验卫星 打印 绕月 天都 深空探测 关键技术,https://news.cctv.com/2024/04/08/ARTIves1txIx0hzBrcklCDd4240408.shtml
《新研究：饮食对婴儿肠道微生物群影响比之前认为的小》,2024-04-08 16:20:25,一项近期发表在美国《细胞宿主与寄生体》杂志上的新研究显示，饮食对婴儿肠道微生物群组成和生长的影响比研究人员之前认为的要小，年龄起着更重要作用。,新华网,罗萌,婴儿 饮食,https://news.cctv.com/2024/04/08/ARTIt5gU7Z29UrKqTM4DqbcV240408.shtml
《左撇子的罕见遗传变异揭秘》,2024-04-08 10:56:38,发表在新一期《自然·通讯》上的一项研究发现，会引起蛋白质改变的罕见遗传变异和微管蛋白基因，与人类左撇子的形成有关。这些发现或能增进人们对左右利手倾向遗传基础的理解。,科技日报,及玥,遗传变异 左利 利手 心理语言学 遗传率 左撇子 遗传基础 左撇子,https://news.cctv.com/2024/04/08/ARTIEEOeqaDsersQas8srVTg240408.shtml
《研究揭示肥胖最大风险基因》,2024-04-08 10:56:27,英国剑桥大学医学研究委员会科学家领导的团队对50多万人的体重指数（BMI）进行了全外显子组测序。,科技日报,及玥,BSN 基因变异 研究人员 非酒精性脂肪肝 研究团队 风险增加 黑色素,https://news.cctv.com/2024/04/08/ARTIfjdvlYyrx1zXZxaMIgFW240408.shtml
《科技助力我国珍稀动物数量稳中有升》,2024-04-08 10:55:59,4月8日是国际珍稀动物保护日。记者从国家林业和草原局获悉，近年来，我国以旗舰物种拯救保护为抓手，持续推进就地和迁地保护体系建设，亚洲象、雪豹、东北虎、海南长臂猿、黔金丝猴、藏羚、莽山烙铁头蛇等大量珍稀濒危野生动物野外种群数量稳中有升。,科技日报,及玥,莽山烙铁头蛇 洞庭湖 黑脸琵鹭 种群数量 珍稀动物保护 草原 保护体系 朱鹮 助力 亚洲象,https://news.cctv.com/2024/04/08/ARTIZ9d1n3YHfPGIBGHrRkCm240408.shtml
《网络科普“火出圈”》,2024-04-08 09:30:13,用火柴人动画展现物理公式，改编影视剧热门片段讲解声学知识，对着镜子演示“宇称不守恒”……如今，越来越多的科普短视频花式“火出圈”，引发新的科普热潮。网络“科普热”的动因是什么？未来又将呈现怎样的发展趋势？,人民日报海外版,宿党辉,风险防控 网络媒体 科普工作,https://news.cctv.com/2024/04/08/ARTIEjoCnXYwO4rZpnicaz6s240408.shtml
《“灯塔工厂”、无人化工厂和智能工厂等新型工厂大量涌现——中国迅速拥抱智能化浪潮》,2024-04-08 09:29:53,如今，在中国各地的许多工厂，出现了大量的工业机器人和全自动生产线。这些充满科技感与未来感的生产景象成为众多外媒关注的热点。,人民日报海外版,宿党辉,自动导引车 智能制造技术 灯塔工厂,https://news.cctv.com/2024/04/08/ARTIWzQrckrehRNCqrYYEs8m240408.shtml
《国产破冰船“雪龙2”号抵达香港 开始访问行程》,2024-04-08 09:11:05,4月8日上午，执行中国第40次南极考察任务的中国第一艘自主建造的极地科考破冰船“雪龙2”号抵达香港，将展开为期五天的访问行程。,央视新闻,戴萌萌,雪龙 破冰船 雪龙2,https://news.cctv.com/2024/04/08/ARTIOLvMDvlGzvNNLAoSWGAM240408.shtml
《日全食“科研盛宴”即将开场》,2024-04-08 06:14:39,这场“天文秀”为科学家提供了一场难得的“科研盛宴”。美国国家航空航天局（NASA）副局长帕姆·梅尔罗伊在近日关于日全食的新闻发布会上表示，日全食提供了“难以置信的科学机会”。,科技日报,肖潇,日全食 太阳探测器 开场 欧洲空间局 NASA 太阳系形成 轨道飞行器 科学家 艾布拉姆斯 日食,https://news.cctv.com/2024/04/08/ARTIWjECL3GfVWQUR34Atupw240408.shtml
《今年唯一一次日全食即将上演！“追日”飞机15000米高空探索太阳的奥秘》,2024-04-07 16:12:20,今年全球唯一一次日全食将于北京时间4月9日凌晨上演，全食带扫过北美洲，墨西哥、美国和加拿大的众多城市都能看到这次日全食，发生时间为当地时间4月8日中午到下午，观赏性比较强。,红星新闻,黄佐春,日食 科学家 日全食 太阳 飞机 日冕 追日 高空飞行 大气动力学 观测数据,https://news.cctv.com/2024/04/07/ARTI64DzUJ9YdbzasLk6voaz240407.shtml
《历时近10年，他们在特种玻璃领域打破国外垄断！》,2024-04-07 15:47:45,一块薄薄的手机屏幕，为何如此坚劲？关键是其盖板采用了国产纳米微晶玻璃。,科技日报,黄佐春,特种玻璃 微晶玻璃 华为手机 微晶结构 国外企业 纳米晶体 纳米微晶 硬度 小巨人 90后,https://news.cctv.com/2024/04/07/ARTIHNd31XSNEuwXRMCFXRkS240407.shtml
《系外卫星：寻找地外生命的又一希望》,2024-04-07 07:48:39,据美国国家航空航天局（NASA）官网报道，截至去年8月24日，人类已确认发现超过5500颗系外行星。而寻找系外卫星，即太阳系以外的天然卫星，更加令天文学家感到兴奋。,科技日报,肖潇,地外生命 卫星环 天然卫星 地外行星 开普勒望远镜 间接检测 猎户星云 太阳系外行星 土卫六 巨行星,https://news.cctv.com/2024/04/07/ARTI2BJXMaSHBElxvi1Jtmqg240407.shtml
《港大研究发现：高香草酸有助缓解抑郁症》,2024-04-07 06:26:20,香港大学医学院6日表示，其医学团队在抑郁症药物研发领域取得突破性科研进展，即首次揭示了肠道菌群代谢物——高香草酸具有缓解抑郁症的作用，为抑郁症治疗提供了全新策略方向。,新华网,肖潇,香草酸 抑郁症治疗 研究发现 研究团队 研究成果 科研团队 皮质酮 代谢物 临床发现 神经元,https://news.cctv.com/2024/04/07/ARTIuof3MN6Vi56IKja5ZLwo240407.shtml
《中国围棋协会主席：人工智能很强大 但无法取代“手谈”》,2024-04-06 17:45:12,2016年8月12日，上海，正官庄中韩棋王传奇对决赛上，常昊（右）和李昌镐对垒 图/视觉中国　赛后，常昊安慰柯洁 图/视觉中国　　2023年7月22日，中国围棋代表人物、世界冠军常昊当选为新一届中国围棋协会主席。,羊城晚报,黄佐春,常昊 手谈 谷歌 比赛节奏 女子项目 人工智能技术 韩国名将 男团决赛 甲级联赛 公开赛,https://news.cctv.com/2024/04/06/ARTINGtIZfff3vzB8p9rC0mY240406.shtml
《神奇材料来了！我国科学家取得新突破》,2024-04-06 17:34:50,你见过穿上身就能发光发电的纤维吗？你期待智能可穿戴设备实现哪些功能？,科技日报,黄佐春,能量采集 信息感知 我国科学家 人体耦合 东华大学 新突破 通道 不插电 发电 功能材料,https://news.cctv.com/2024/04/06/ARTIRHE2vgx4SzFh9sMIWoJ5240406.shtml
《突破！智能纤维不再依赖芯片电池》,2024-04-06 07:06:39,一件看似面料普通的衣服，当手指在衣物表面任意滑过，它的“显示区域”就留下了“光的指印”——一个又一个像素点；而织造这件服装的那一根根纤维，摸起来与纺线并无二致，当像蜻蜓点水一样接触到水时，却能被瞬间点亮。,解放日报,陈平丽,纤维 智能 纺织品 科学 能量,https://news.cctv.com/2024/04/06/ARTIFiN9aqUVMb5JQGCRQOHZ240406.shtml
《2024年度中国天眼FAST自由观测项目申请通道4月6日0时向全球开放》,2024-04-05 19:09:26,记者从中国天眼FAST了解到，FAST2024年度观测季自由观测项目申请通道将于4月6日0时，向全球开放。,央视网,陈诗文,中国天眼FAST,https://news.cctv.com/2024/04/05/ARTI45j6xMwIMKqOrXhUEc0f240405.shtml
《探索发展新质生产力：让百里港区跃然指尖》,2024-04-05 16:53:22,港区也可数字孪生，如何实现世界级港口现代管理运营升级。,央视网,刘亮,数字孪生 现代管理 青岛港,https://news.cctv.com/2024/04/05/ARTIWBsNqsjjd5ZPGtDid9fg240405.shtml
《在社交媒体分享论文会增加引用量？研究结果来了》,2024-04-05 14:25:48,近年来社交媒体兴起，有些研究显示在社交媒体平台上分享科研论文可以增加引用量。引用量是评价科研论文质量的一个重要指标，“高被引”的论文和科研人员往往意味着同行认可。,新华网,及玥,用量 社交 研究人员 研究团队 研究结果 媒体 科研论文 下载量 期刊,https://news.cctv.com/2024/04/05/ARTIrtwu8btDNaBx16gx8vJW240405.shtml
《春天里的“预”见 | 从150亿美元投资预见量子产业》,2024-04-05 13:44:31,量子产业正在开启未来产业新赛道。前瞻产业研究院报告显示，2023年全球量子信息投资规模达到386亿美元，其中中国投资总额达150亿美元。,新华网,甄涛,量子通信 量子信息 量子计算机 快车道 生命科学 赛道 计算能力,https://news.cctv.com/2024/04/05/ARTIgv1yDJBeure24m1opg1V240405.shtml
《再添一员！泰国加入国际月球科研站计划》,2024-04-05 12:38:09,4月5日，中国国家航天局与泰国高等教育科研与创新部共同签署关于探索与和平利用外层空间合作的谅解备忘录和国际月球科研站合作的谅解备忘录。,央视新闻,罗萌,泰国 国际月球科研站计划,https://news.cctv.com/2024/04/05/ARTIfl3AlAub4tnwIADgkJtW240405.shtml
《AI“音乐创作”横行 200多名国际音乐人联名反对》,2024-04-05 10:25:11,近日，200多名国际乐坛知名音乐人联署公开信，呼吁AI开发者、科技公司、平台和数字音乐服务商停止使用人工智能（AI）来侵犯并贬低人类艺术家的权利，具体诉求包括，停止使用AI侵犯及贬低人类艺术家的权利，要求他们承诺不开发与之相关的AI音乐生成技术等，不能拒绝向艺术家提供合理报酬。,北京青年报,及玥,AI“音乐创作” 音乐界 音乐人,https://news.cctv.com/2024/04/05/ARTIHsb0LHkuh0EEsioSz5H1240405.shtml
《生命的化学起源如何形成？国际最新实验研究破解谜团》,2024-04-05 10:19:38,国际著名学术期刊《自然》最新发表一篇化学论文称，研究人员通过实验室实验发现，穿过岩石裂缝的热流如火山或地热系统中的热流，能净化与生命化学起源相关的分子。这项实验研究发现，可解释生命最初的基本成分如何从复杂的化学混合物中形成。,中国新闻网,罗萌,生命起源 化学起源,https://news.cctv.com/2024/04/05/ARTIyWjcOzJcSGD9pfu84EL2240405.shtml
《我国企业有效发明专利产业化率稳步提升》,2024-04-05 10:13:38,记者近日从国家知识产权局获悉，目前，我国国内有效发明专利中，企业所占比重已超七成，数量超过300万件。,新华网,钱景童,发明专利 我国企业 国家知识产权局,https://news.cctv.com/2024/04/05/ARTI30fKiSU2UJjGFBTmIRRL240405.shtml
《“隐身术”真能实现吗？看看这几个光学小实验》,2024-04-05 07:00:44,隐身术在技术上真的可以实现吗？,央视新闻,陈平丽,折射率 隐身术 神奇四侠 葫芦兄弟,https://news.cctv.com/2024/04/05/ARTItiDPRkdn4YwyBDJ4L5aR240405.shtml
《我国科学家研发新型通用晶体生长技术》,2024-04-04 20:24:24,记者日前从华东理工大学了解到，该校清洁能源材料与器件团队自主研发了一种钙钛矿单晶晶片通用生长技术，将晶体生长周期由7天缩短至1.5天，实现了30余种金属卤化物钙钛矿半导体的低温、快速、可控制备，为新一代高性能光电子器件提供了丰富材料库。,新华社,戴萌萌,钙钛矿 晶体生长 单晶,https://news.cctv.com/2024/04/04/ARTIPBWKOwtzF5pdHEx6Ikan240404.shtml
《科研人员培育出6条腿基因工程小鼠胚胎》,2024-04-03 15:06:19,葡萄牙研究人员利用基因工程技术培育出了有6条腿的小鼠胚胎。医学影像显示，这个小鼠胚胎在本该长外生殖器的部位，长出了两条额外的后肢。,新华网,王玉西,科研人员 6条腿 基因工程,https://news.cctv.com/2024/04/03/ARTIJ8rtiGQdNMFqdfc0mX2F240403.shtml
《抗体疗法可让小鼠免疫系统年轻化》,2024-04-03 14:36:22,英国《自然》杂志近日发表的一项针对小鼠的最新研究显示，一种能够耗竭特定干细胞的抗体疗法，通过重新平衡血细胞的产生，可让衰老小鼠的免疫系统重新回到年轻状态。,新华网,肖潇,免疫系统 抗体 造血干细胞 老年小鼠 免疫应答 研究人员 淋巴细胞 体内 免疫疗法 细胞表面,https://news.cctv.com/2024/04/03/ARTI0G6qWHabSrCdFmoM5L8f240403.shtml
《我国成功发射遥感四十二号01星》,2024-04-03 07:20:08,北京时间2024年4月3日6时56分，我国在西昌卫星发射中心使用长征二号丁运载火箭，成功将遥感四十二号01星发射升空，卫星顺利进入预定轨道，发射任务获得圆满成功。,中央广播电视总台央视新闻,谢博韬,遥感 发射升空 预定轨道,https://news.cctv.com/2024/04/03/ARTIs0NMDFOU8IiDx8iVSQX6240403.shtml
《我国商业航天驶入规模化发展“快车道”》,2024-04-02 20:17:34,今年以来，在一系列政策支持下，我国商业航天产业正在迅速成长，驶入了规模化发展的“快车道”，为加快发展新质生产力不断注入新的动能。,央视网,郭倩,商业航天,https://news.cctv.com/2024/04/02/ARTI0KBr12A78T0QNuOp5dZi240402.shtml
《“万种鸟类基因组计划”更新鸟类系统发育树 确定“元素鸟类”这一新鸟类》,2024-04-02 19:13:33,由中外科学家联合发起的“万种鸟类基因组计划”发布了新的鸟类系统发育树，提出新的鸟类分类系统，改写了之前对鸟类演化历程的认识。这一成果2日在国际学术期刊《自然》上发表。,新华网,郭倩,鸟类物种 基因组计划 系统发育树,https://news.cctv.com/2024/04/02/ARTIco3CvCOlXdTiIKbYiu2Y240402.shtml
《我国首个大型页岩气田今年一季度投产33口新井》,2024-04-02 19:09:50,记者4月2日从中国石油化工集团有限公司江汉油田涪陵页岩气田获悉，今年一季度该气田产销两旺，1-3月累计投产新井33口、同比增加50%，产气18.19亿立方米、销售17.45亿立方米，分别超出计划产量1500万立方米、计划销量1400万立方米。,新华社,郭倩,页岩气田,https://news.cctv.com/2024/04/02/ARTIqxc9XBkGNFSl2AYIALYC240402.shtml
《新研究揭示全球变暖将导致青藏高原北缘暖湿化》,2024-04-02 17:37:15,基于古环境记录、古气候模拟和现代观测，对比了青藏高原北缘中全新世暖期、中世纪暖期、现代暖期和未来百年暖期的干湿变化，兰州大学资源环境学院李育教授团队得出结论，未来全球变暖会导致青藏高原北缘暖湿化。,新华网,郭倩,青藏高原 暖湿化 气候变化,https://news.cctv.com/2024/04/02/ARTIfkX9Zco4yQGrHPhBsaqZ240402.shtml
《改进版“天文梳”技术有助寻找类地行星》,2024-04-02 14:52:35,英国赫瑞-瓦特大学和剑桥大学的研究人员联合对一种名为“天文梳”的激光系统进行了改进，新技术有助天文研究者寻找类地行星的踪迹。公报还说，这一新技术还可通过更灵敏地测量宇宙膨胀，增进科研人员对宇宙的理解。,新华网,肖潇,类地行星 改进版 天文梳 恒星 激光系统 研究人员 宇宙膨胀 自然·通讯 小行星 引力,https://news.cctv.com/2024/04/02/ARTI6YRnbM52It9PdNZ6mbhY240402.shtml
《黄河流域在建装机最大水电站首台机组并网发电》,2024-04-02 07:57:47,1日，黄河流域在建海拔最高、装机最大的水电站——国家能源集团青海玛尔挡水电站首台机组成功并网发电。,科技日报,邢斯馨,水电站 机组投产 玛尔挡 黄河流域 装机 黄河上游 高原鳅 高寒高海拔 青海果洛 国家能源,https://news.cctv.com/2024/04/02/ARTIE3Sy5B6vn2FIl3pCgell240402.shtml
